match,PSW,win0,confidence0,date,winner,,,pred correct?
46482,1.54,0,1.555933688,5/2/2018,Dutra Silva R.,-1,,
43116,1.67,0,1.555834761,2/6/2017,Chardy J.,-1,,
46481,2.37,1,1.555489099,5/2/2018,Lorenzi P.,1.37,,
30703,1.6,0,1.554408399,4/17/2012,Bellucci T.,-1,,
55518,2.44,1,1.554214286,5/11/2022,Cilic M.,1.44,,
38397,1.61,0,1.553990059,4/3/2015,Murray A.,-1,,
36160,1.57,0,1.553675298,5/18/2014,Delbonis F.,-1,,
39912,2.23,1,1.551929791,10/5/2015,Rosol L.,1.23,,
41341,2.67,1,1.551228839,5/7/2016,Murray A.,1.67,,
51972,1.48,0,1.550962063,1/10/2021,Isner J.,-1,,
31221,2.36,1,1.549896717,6/14/2012,Anderson K.,1.36,,
55286,2.16,1,1.548233206,4/14/2022,Davidovich Fokina A.,1.16,,
42054,2.85,1,1.547472701,7/22/2016,Johnson S.,1.85,,
38349,1.52,0,1.546792683,3/28/2015,Goffin D.,-1,,
57063,1.51,0,1.545409577,1/5/2023,Shapovalov D.,-1,-100,
47279,1.66,0,1.545369603,7/31/2018,De Minaur A.,-1,,
44610,2.55,1,1.545026035,7/26/2017,Vesely J.,1.55,,
44777,1.47,0,1.544354344,8/9/2017,Anderson K.,-1,,
37607,2.76,1,1.544254818,1/5/2015,Haider-Maurer A.,1.76,,
46588,2.59,1,1.54381482,5/14/2018,Ramos-Vinolas A.,1.59,,
49552,1.75,0,1.543080354,6/26/2019,Simon G.,-1,,
57546,1.57,0,1.54186018,3/1/2023,Hanfmann Y.,-1,-100,
57311,1.61,0,1.541746583,2/9/2023,Sonego L.,-1,-100,
47801,1.78,0,1.541326135,10/4/2018,Struff J.L.,-1,,
33894,1.71,0,1.540041757,6/18/2013,Mahut N.,-1,,
44094,1.74,0,1.539785722,5/29/2017,Dutra Silva R.,-1,,
54822,1.54,0,1.539709216,2/15/2022,Machac T.,-1,,
53007,1.5,0,1.539535152,5/21/2021,Shapovalov D.,-1,,
39120,1.68,0,1.538925478,6/29/2015,Kudla D.,-1,,
47554,2.29,1,1.538702377,8/28/2018,Ebden M.,1.29,,
47707,1.72,0,1.538637722,9/24/2018,Tomic B.,-1,,
33117,1.55,0,1.538344848,3/9/2013,Llodra M.,-1,,
56010,1.63,0,1.538077457,7/8/2022,Kyrgios N.,-1,,
55034,2.54,1,1.537764512,3/12/2022,Bagnis F.,1.54,,
47681,2.37,1,1.536637236,9/20/2018,Cecchinato M.,1.37,,
37748,2.4,1,1.536004865,1/19/2015,Kokkinakis T.,1.4,,
43717,1.56,0,1.535474317,4/18/2017,Khachanov K.,-1,,
39590,2.4,1,1.534765406,8/18/2015,Coric B.,1.4,,
32560,1.6,0,1.533957026,1/7/2013,Lacko L.,-1,,
50009,2.36,1,1.533951793,8/8/2019,Khachanov K.,1.36,,
39307,2.76,1,1.532627314,7/22/2015,Istomin D.,1.76,,
55251,1.53,0,1.530952363,4/11/2022,Schwartzman D.,-1,,
38561,1.79,0,1.530939223,4/23/2015,Andujar P.,-1,,
46314,1.58,0,1.530922287,4/15/2018,Khachanov K.,-1,,
54088,2.52,1,1.530039375,9/30/2021,Giron M.,1.52,,
45158,1.71,0,1.529807399,10/3/2017,Schwartzman D.,-1,,
42103,2.05,1,1.529590794,7/26/2016,Stepanek R.,1.05,,
49763,2.14,1,1.529444554,7/19/2019,Balazs A.,1.14,,
35155,1.59,0,1.529376953,1/9/2014,Lu Y.H.,-1,,
40100,1.76,0,1.529307512,10/24/2015,Bautista R.,-1,,
30338,1.63,0,1.529249553,2/25/2012,Melzer J.,-1,,
54204,2.53,1,1.528493612,10/16/2021,Basilashvili N.,1.53,,
55560,2.34,1,1.527724446,5/17/2022,Nikles J.,1.34,,
42931,1.68,0,1.52716081,1/8/2017,Mahut N.,-1,,
48183,2.51,1,1.526388966,1/8/2019,Seppi A.,1.51,,
38676,1.56,0,1.526212972,5/5/2015,Kohlschreiber P.,-1,,
50065,2.37,1,1.525762398,8/15/2019,Khachanov K.,1.37,,
46468,1.59,0,1.52564602,5/1/2018,Lajovic D.,-1,,
48594,2.76,1,1.525588043,2/24/2019,Albot R.,1.76,,
36105,2.63,1,1.525436429,5/11/2014,Melzer J.,1.63,,
45623,1.71,0,1.525391203,1/15/2018,Istomin D.,-1,,
47515,2.35,1,1.524646244,8/23/2018,Carreno Busta P.,1.35,,
38255,2.65,1,1.524638549,3/15/2015,Sock J.,1.65,,
52076,2.41,1,1.523686351,2/4/2021,Khachanov K.,1.41,,
54118,2.75,1,1.523671918,10/7/2021,Daniel T.,1.75,,
37705,1.58,0,1.523506813,1/13/2015,Johnson S.,-1,,
38755,1.51,0,1.523399679,5/13/2015,Isner J.,-1,,
38021,1.53,0,1.523035272,2/14/2015,Anderson K.,-1,,
35125,2.09,1,1.522751914,1/7/2014,Matosevic M.,1.09,,
53239,2.15,1,1.522443084,6/15/2021,Bublik A.,1.15,,
