match,PSW,win0,confidence0,date,winner,,,correct pred?
22659,1.75,0,1.426925993,3/1/2017,Kerkhove L.,-1,-100,
35983,1.83,0,1.426260511,2/28/2023,Stearns P.,-1,-100,
27424,1.7,0,1.426139709,1/22/2019,Kvitova P.,-1,-100,
27850,2.39,1,1.424377001,4/2/2019,Mladenovic K.,1.39,139,
33061,1.58,0,1.423957596,10/28/2021,Wang Xin.,-1,-100,
34162,1.66,0,1.423642488,5/23/2022,Zheng Q.,-1,-100,
29214,1.71,0,1.42347123,9/13/2019,Pliskova Ka.,-1,-100,
26674,1.68,0,1.423316238,9/10/2018,Parmentier P.,-1,-100,
24142,2.14,1,1.422593465,8/30/2017,Allertova D.,1.14,114,
22786,2.38,1,1.4225053,3/18/2017,Vesnina E.,1.38,138,
31123,1.78,0,1.422343297,3/4/2021,Minnen G.,-1,-100,
22351,1.66,0,1.421388411,1/16/2017,Fourlis J.,-1,-100,
25441,1.74,0,1.421145467,4/9/2018,Seguel D.,-1,-100,
25573,1.93,1,1.420140701,5/1/2018,Badosa Gibert P.,0.93,93,
24903,1.89,0,1.419692764,1/17/2018,Mertens E.,-1,-100,
28730,1.61,0,1.419072444,7/16/2019,Tig P.M.,-1,-100,
33317,2.08,1,1.418992041,1/18/2022,Kovinic D.,1.08,108,
34374,2.16,1,1.418974335,6/18/2022,Bencic B.,1.16,116,
26810,2.17,1,1.418850887,9/21/2018,Vekic D.,1.17,117,
23777,2.13,1,1.418807125,7/18/2017,Martincova T.,1.13,113,
34916,2.22,1,1.418721436,8/17/2022,Garcia C.,1.22,122,
30544,1.75,0,1.418021951,9/27/2020,Schmiedlova A.,-1,-100,
35860,1.68,0,1.417770463,2/12/2023,Bencic B.,-1,-100,
33095,1.61,0,1.41773919,11/8/2021,Wang Xin.,-1,-100,
32111,2.35,1,1.417612642,6/30/2021,Begu I.,1.35,135,
35989,1.7,0,1.417004272,2/28/2023,Parrizas Diaz N.,-1,-100,
28678,2.14,1,1.416924107,7/5/2019,Svitolina E.,1.14,114,
35996,1.76,0,1.416827912,2/28/2023,Stephens S.,-1,-100,
29709,2.2,1,1.415423224,1/11/2020,Keys M.,1.2,120,
22688,1.77,0,1.415184987,3/3/2017,Tsurenko L.,-1,-100,
29320,1.6,0,1.414936086,9/21/2019,Osaka N.,-1,-100,
22517,1.74,0,1.414616441,2/5/2017,Mladenovic K.,-1,-100,
34866,2.3,1,1.414418686,8/11/2022,Pliskova Ka.,1.3,130,
29553,1.85,0,1.414302635,10/15/2019,Cirstea S.,-1,-100,
27034,1.79,0,1.413770177,10/11/2018,Boulter K.,-1,-100,
24595,2.01,1,1.413440771,10/16/2017,Tsurenko L.,1.01,101,
34320,2.2,1,1.413145256,6/13/2022,Ruse E.G.,1.2,120,
31210,2.37,1,1.413072164,3/10/2021,Sharma A.,1.37,137,
28239,1.62,0,1.411976435,5/22/2019,Puig M.,-1,-100,
31816,1.8,0,1.410700247,6/1/2021,Lepchenko V.,-1,-100,
27432,2.47,1,1.409904448,1/28/2019,Niculescu M.,1.47,147,
27632,1.74,0,1.408923383,3/6/2019,Voegele S.,-1,-100,
22347,1.67,0,1.408495321,1/16/2017,Vikhlyantseva N.,-1,-100,
31283,2.33,1,1.408409579,3/20/2021,Golubic V.,1.33,133,
28061,1.7,0,1.407929443,5/1/2019,Van Uytvanck A.,-1,-100,
23254,1.62,0,1.407314677,5/17/2017,Pliskova Ka.,-1,-100,
35628,1.94,0,1.407142454,1/16/2023,Podoroska N.,-1,-100,
24276,1.54,0,1.406508403,9/18/2017,Kovinic D.,-1,-100,
34714,1.99,0,1.406449538,7/25/2022,Hibino N.,-1,-100,
26162,1.68,0,1.406018108,7/3/2018,Stosur S.,-1,-100,
24074,1.7,0,1.405247242,8/25/2017,Radwanska A.,-1,-100,
23707,2.5,1,1.404375568,7/5/2017,Watson H.,1.5,150,
27267,1.88,0,1.404172142,1/8/2019,Van Uytvanck A.,-1,-100,
35933,2.02,1,1.402387594,2/21/2023,Samsonova L.,1.02,102,
31356,1.72,0,1.402209215,3/27/2021,Svitolina E.,-1,-100,
