match,PSW,win0,confidence0,date,winner,,,correct pred?,
50667,2.2,1,1.638323772,11/13/2019,Tsitsipas S. ,1.2,60,,
48265,2.02,0,1.633215297,1/15/2019,Donskoy E.,-1,-50,,
54955,1.73,0,1.632980533,2/23/2022,Bagnis F.,-1,-50,,
48691,3.72,1,1.632577171,3/7/2019,Andreozzi G.,2.72,136,,
56171,2.16,1,1.632163668,7/27/2022,Lajovic D.,1.16,58,,
56131,1.51,0,1.631742926,7/25/2022,Misolic F.,-1,-50,,
47208,1.38,0,1.631054945,7/24/2018,Bedene A.,-1,-50,,
45950,1.58,0,1.631047941,2/22/2018,Fritz T.,-1,-50,,
47172,1.63,0,1.630952048,7/20/2018,Trungelliti M.,-1,-50,,
50544,1.61,0,1.630936354,10/19/2019,Mannarino A.,-1,-50,,
43537,2.26,1,1.630129352,3/16/2017,Federer R.,1.26,63,,
44268,1.67,0,1.629876354,6/20/2017,Pouille L.,-1,-50,,
47204,2.63,1,1.629682119,7/24/2018,Monteiro T.,1.63,81.5,,
44406,1.77,0,1.629531164,7/4/2017,Gulbis E.,-1,-50,,
54915,1.64,0,1.6290556,2/21/2022,Seyboth Wild T.,-1,-50,,
45127,2.33,1,1.628944605,9/29/2017,Istomin D.,1.33,66.5,,
48212,2.61,1,1.628427816,1/11/2019,Seppi A.,1.61,80.5,,
48911,1.77,0,1.628142017,4/11/2019,Paire B.,-1,-50,,
43092,1.54,0,1.626246774,1/21/2017,Bautista Agut R.,-1,-50,,
51889,1.49,0,1.625285222,11/6/2020,Zverev A.,-1,-50,,
50697,2.56,1,1.62421994,1/10/2020,Moutet C.,1.56,78,,
53026,2.23,1,1.624184077,5/24/2021,Cuevas P.,1.23,61.5,,
56075,2.3,1,1.623372449,7/18/2022,Ritschard A.,1.3,65,,
52246,1.69,0,1.623069559,2/23/2021,Etcheverry T.,-1,-50,,
46928,2.37,1,1.622312874,6/25/2018,Istomin D.,1.37,68.5,,
46379,1.49,0,1.621751804,4/23/2018,Garcia-Lopez G.,-1,-50,,
52752,1.54,0,1.621495189,4/20/2021,Shapovalov D.,-1,-50,,
