match,PSW,win0,confidence0,date,winner,,,,,,,
41363,1.5,0,1.530118032,5/10/2016,Goffin D.,,,,,,,
49320,2.76,1,1.529655538,5/28/2019,Thompson J.,,,,,,,
40657,1.53,0,1.529640307,2/15/2016,Paire B.,,,,,,,
55026,1.55,0,1.529628536,3/12/2022,Monfils G.,,,,,,,
49219,2.6,1,1.529311891,5/17/2019,Schwartzman D.,,,,,,,
53489,2.37,1,1.528985796,7/13/2021,Jung J.,,,,,,,
47143,1.76,0,1.528839382,7/18/2018,Cecchinato M.,,,,,,,
55021,1.58,0,1.528653109,3/11/2022,Wolf J.J.,,,,,,,
54030,1.5,0,1.528622732,9/22/2021,Carreno Busta P.,,,,,,,
43339,1.76,0,1.527956618,2/24/2017,Carreno Busta P.,,,,,,,
55176,2.62,1,1.527924697,3/29/2022,Sinner J.,,,,,,,
54610,2.23,1,1.527792927,1/21/2022,Berrettini M.,,,,,,,
57138,2.21,1,1.119793419,1/12/2023,Kwon S.W.,1.21,60.5,,,,,
35984,1.61,0,1.527175248,4/25/2014,Nishikori K.,,,,,,,
54192,1.58,0,1.527123492,10/13/2021,Hurkacz H.,,,,,,,
38397,1.61,0,1.525074542,4/3/2015,Murray A.,,,,,,,
57163,2.4,1,1.331744599,1/16/2023,Moutet C.,1.4,70,,,,,
54861,2.34,1,1.5250436,2/16/2022,Davidovich Fokina A.,,,,,,,
50397,2.62,1,1.524977985,10/3/2019,Chung H.,,,,,,,
37523,1.61,0,1.524499829,10/23/2014,Dimitrov G.,,,,,,,
46977,1.56,0,1.524335417,6/29/2018,Zverev M.,,,,,,,
