match,PSW,win0,confidence0,date,winner,,,
48757,2.5,1,1.620501876,3/12/2019,Shapovalov D.,1.5,75,
51647,1.61,0,1.619871625,10/12/2020,Musetti L.,-1,-50,
44302,2.28,1,1.619777062,6/24/2017,Lopez F.,1.28,64,
48883,2.16,1,1.619488857,4/9/2019,Paire B.,1.16,58,
54838,1.57,0,1.617749348,2/15/2022,Korda S.,-1,-50,
48164,1.72,0,1.616370397,1/6/2019,Klizan M.,-1,-50,
51659,2.16,1,1.616213901,10/13/2020,Ivashka I.,1.16,58,
44679,2.44,1,1.614134916,8/2/2017,Tursunov D.,1.44,72,
47942,1.77,0,1.613584116,10/19/2018,Mannarino A.,-1,-50,
43640,2.52,1,1.61342726,4/10/2017,Albot R.,1.52,76,
46922,1.76,0,1.613243517,6/23/2018,Cilic M.,-1,-50,
48543,2.3,1,1.611945187,2/19/2019,Lorenzi P.,1.3,65,
44051,1.58,0,1.61138275,5/25/2017,Tsonga J.W.,-1,-50,
52027,2.07,1,1.610691969,2/2/2021,Sweeny D.,1.07,53.5,
54496,1.56,0,1.610549717,1/13/2022,Evans D.,-1,-50,
51682,2.37,1,1.608903899,10/14/2020,Norrie C.,1.37,68.5,
56513,2.66,1,1.60685398,8/31/2022,Moutet C.,1.66,83,
49992,1.6,0,1.604904716,8/7/2019,Medvedev D.,-1,-50,
57081,2.25,1,1.604691316,1/6/2023,Bonzi B.,1.25,62.5,
44757,2.13,1,1.604180112,8/7/2017,Paire B.,1.13,56.5,
45980,1.74,0,1.60323003,2/26/2018,Baghdatis M.,-1,-50,
50009,2.36,1,1.602726586,8/8/2019,Khachanov K.,1.36,68,
55280,2.46,1,1.602633442,4/13/2022,Fritz T.,1.46,73,
50169,1.85,0,1.602060111,8/27/2019,Berankis R.,-1,-50,
44634,2.33,1,1.60161853,7/28/2017,Haase R.,1.33,66.5,
47994,1.61,0,1.600427371,10/25/2018,Nishikori K.,-1,-50,
45235,1.45,0,1.599521542,10/11/2017,Isner J.,-1,-50,
